"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","交易下单-云策略复制下单-漏单场景","场景4：交易下单-云策略复制下单-云策略-策略状态关闭","0","0","11","0","0"
"","云策略复制下单-平仓的功能校验","场景4：平仓的订单数量功能校验","0","0","5","0","0"
"","仪表盘","仪表盘-云策略-云跟单账号数据","1","0","3","0","0"
"","仪表盘","仪表盘-云策略-策略账号数据","0","0","4","0","0"
"","数据管理-创建数据-为云策略准备","","0","0","23","0","0"
"","交易下单-云策略复制下单-漏单场景","场景2：交易下单-云策略复制下单-漏平","0","0","12","0","0"
"","云策略-策略账号交易下单-开仓的场景校验","场景2：复制下单-手数0.1-1，总订单3，总手数1","1","1","4","0","0"
"","云策略复制下单-平仓的功能校验","场景7：平仓的订单类型功能校验-全部订单","0","0","5","0","0"
"","云策略复制下单-平仓的功能校验","场景8：平仓的订单备注功能校验","0","0","5","0","0"
"","云策略-云策略列表-修改跟单账号","场景1：云策略-云策略列表-云跟单账号修改币种","1","1","9","0","0"
"","云策略复制下单-开仓的场景校验2","场景3：交易分配-手数范围0.1-1，总手数0.01","0","0","1","0","0"
"","云策略复制下单-平仓的功能校验","场景10：平仓的功能校验-全平订单","0","0","7","0","0"
"","云策略复制下单-平仓的功能校验","场景9：平仓的功能校验-全平策略","0","0","7","0","0"
"","云策略-策略账号交易下单-开仓的场景校验","场景1：分配下单-手数0.1-1，总手数1","1","1","4","0","0"
"","云策略复制下单-平仓的功能校验","场景11：平仓的功能校验-全平订单","0","0","3","0","0"
"","云策略交易下单-跟随策略账号订单备注","场景2：策略有固定注释，跟单有固定注释","0","0","5","0","0"
"","云策略-策略账号交易下单-开仓的场景校验","场景5：复制下单-手数0.1-1，总手数5","1","1","4","0","0"
"","云策略复制下单-开仓的场景校验","场景6：分配下单-手数0.1-1，总手数1","0","0","4","0","0"
"","云策略-云策略列表-批量新增云跟单账号","","0","0","3","0","0"
"","云策略交易下单-跟随策略账号订单备注","场景1：策略有固定注释，跟单无固定注释","0","0","5","0","0"
"","交易下单-云策略复制下单-漏单场景","场景3：交易下单-云策略复制下单-策略账号-策略状态关闭","0","0","11","0","0"
"","云策略复制下单-开仓的场景校验2","场景1：复制下单-手数范围0.6-1，总手数1","0","0","4","0","0"
"","交易下单-云策略复制下单-漏单场景","场景1：交易下单-云策略复制下单-漏开","0","0","11","0","0"
"","云策略复制下单-开仓的场景校验","场景5：复制下单-手数0.1-1，总订单5-停止功能","0","0","5","0","0"
"","云策略复制下单-开仓的场景校验","场景3：复制下单-手数0.01-1，总订单10","0","0","4","0","0"
"","云策略复制下单-开仓的场景校验","场景1：复制下单-手数0.1-1，总订单3，总手数1","0","0","4","0","0"
"","云策略-策略账号交易下单-开仓的场景校验","场景4：复制下单-手数0.01-1，总订单10","0","0","6","0","0"
"","云策略复制下单-平仓的功能校验","场景2：平仓的订单方向功能校验-sell","0","0","5","0","0"
"","云策略复制下单-平仓的功能校验","场景5：平仓的订单类型功能校验-内部订单","0","0","5","0","0"
"","数据管理-删除云策略测试数据","","0","0","22","0","0"
"","云策略-策略账号交易下单-开仓的场景校验","场景6：复制下单-手数0.1-1，总订单5-停止功能","0","0","8","0","0"
"","云策略复制下单-开仓的场景校验2","场景2：复制下单-手数范围0.3-1，总订单数量1，总手数5","0","0","4","0","0"
"","云策略复制下单-开仓的场景校验","场景4：复制下单-手数0.1-1，总手数5","0","0","4","0","0"
"","云策略-云策略列表-修改跟单账号","场景2：云策略策略下单-跟单修改模式、品种","0","0","11","0","0"
"","云策略复制下单-平仓的功能校验","场景6：平仓的订单类型功能校验-外部订单","0","0","6","0","0"
"","云策略复制下单-平仓的功能校验","场景3：平仓的订单方向功能校验-buy sell","0","0","5","0","0"
"","云策略-策略账号交易下单-开仓的场景校验","场景3：复制下单-手数0.01-0.01，总手数0.01","0","0","6","0","0"
"","云策略复制下单-平仓的功能校验","场景1：平仓的停止功能校验","0","0","7","0","0"
"","云策略交易下单-跟随策略账号订单备注","场景3：策略开启订单备注，跟单无固定注释","0","0","5","0","0"
"","云策略复制下单-开仓的场景校验","场景2：复制下单-手数0.01-0.01，总手数0.01","0","0","4","0","0"
"","云策略复制下单-开仓的场景校验2","场景4：交易分配-手数范围0.1-1，总手数2","0","0","1","0","0"
