"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","VPS交易下单-分配下单","","0","0","4","0","0"
"","VPS策略下单-跟单修改模式、品种","","0","7","3","0","0"
"","VPS策略下单-跟单修改币种","","0","6","4","0","0"
"","账号管理-创建基本信息","","1","0","15","2","0"
"","VPS策略下单-漏平","","1","0","13","0","0"
"","VPS策略下单-漏开","","1","0","13","0","0"
"","删除跟单账号和策略账号","","0","2","10","0","0"
"","账号管理-创建跟单账号","","2","1","0","0","0"
"","VPS策略下单-正常开仓平仓","","0","0","7","0","0"
"","VPS交易下单-复制下单","","0","0","4","0","0"
"","删除基本账号","","0","0","5","1","0"
